,p1,p2,p3,p4
0,0.592919234,0.725900905,0.443858228,0.27950747
1,0.59679033,0.744384228,0.45423091,0.295972889
2,0.60177345,0.733574025,0.455634511,0.31700386
3,0.575786997,0.736493304,0.471841934,0.31795339
4,0.567847603,0.732422245,0.442864037,0.314743689
5,0.613520007,0.719024184,0.425542419,0.331932433
6,0.646413289,0.703346131,0.45882479,0.335203637
7,0.656173784,0.720597765,0.470030307,0.317344228
8,0.679642094,0.740934325,0.484620776,0.274606094
9,0.688180407,0.689489059,0.493984152,0.279361174
10,0.722256697,0.672474435,0.483038561,0.282942862
11,0.684969653,0.692623887,0.510853538,0.259019373
12,0.659633046,0.715817289,0.479761531,0.255717844
13,0.640778901,0.746070273,0.486310925,0.298984932
14,0.609843847,0.745244975,0.483221717,0.292136448
15,0.647958318,0.742194192,0.475561931,0.315615459
16,0.645843171,0.723966215,0.453043104,0.348756417
17,0.692166841,0.722635815,0.463953484,0.34175623
18,0.705363788,0.731280491,0.44983954,0.361794708
19,0.638524244,0.731469643,0.432081966,0.373358192
20,0.6317315,0.722503558,0.440889844,0.370049194
21,0.644665474,0.721895684,0.444949016,0.385190721
22,0.666624831,0.705702366,0.41870989,0.352113387
23,0.664096591,0.678602803,0.465073071,0.307119567
24,0.680750687,0.666643436,0.491099525,0.327636045
25,0.721158618,0.678938875,0.515332064,0.339488743
26,0.726141219,0.688257877,0.536516343,0.306057792
27,0.73348975,0.708654251,0.586460321,0.324762577
28,0.741945791,0.695447607,0.560037831,0.324394061
29,0.741235567,0.647184722,0.536509411,0.324567173
30,0.711120899,0.682287617,0.531370322,0.374347067
31,0.703930664,0.670612165,0.531256282,0.366194808
32,0.747483385,0.676785204,0.520215803,0.386285095
33,0.74387237,0.641874978,0.524958272,0.407380993
34,0.73213969,0.647869521,0.501933636,0.430053027
35,0.735960532,0.661804792,0.485008195,0.408820591
36,0.729661989,0.677064408,0.465983699,0.402459854
37,0.707923169,0.652538123,0.509954334,0.406162253
38,0.694382959,0.673066329,0.53675196,0.433014543
39,0.686824957,0.662671924,0.535677589,0.456735874
40,0.701252715,0.683582687,0.514353351,0.444802595
41,0.735883559,0.659710527,0.529381359,0.474099865
42,0.698407408,0.656265655,0.569051894,0.499578503
43,0.7442163,0.635050852,0.558922212,0.517139904
44,0.747567615,0.608699053,0.608414695,0.563824608
45,0.732850337,0.616463301,0.592031585,0.577261292
46,0.715828642,0.648648698,0.586579464,0.616425469
47,0.701654265,0.648684771,0.570981347,0.613264448
48,0.732315949,0.628861012,0.623729858,0.633249326
49,0.743730679,0.568101573,0.63551621,0.647257539
50,0.742405846,0.572548826,0.591204146,0.709977629
51,0.731656858,0.573059605,0.575730319,0.744945783
52,0.722202375,0.60094317,0.559049285,0.725062463
53,0.747378689,0.616272459,0.57552337,0.745893196
54,0.685531181,0.603674478,0.596085384,0.740868649
55,0.688074556,0.625850557,0.577550956,0.724326154
56,0.663246753,0.617190689,0.584079294,0.728943976
57,0.648444122,0.611121997,0.578067357,0.749481486
58,0.676622776,0.625101394,0.598288486,0.721493407
59,0.689847488,0.665800562,0.557855925,0.714889988
60,0.717720941,0.648669251,0.531914095,0.6693347
61,0.661610946,0.646860561,0.510276235,0.679727111
62,0.656145255,0.627004415,0.49869813,0.695042862
63,0.630791729,0.629113125,0.54503642,0.72246338
64,0.612540457,0.65370092,0.543735631,0.700523395
65,0.59867619,0.683022062,0.518545963,0.697685388
66,0.625425207,0.674654184,0.508248899,0.693832384
67,0.655675286,0.701507056,0.525062901,0.675420829
68,0.637758686,0.67166996,0.551839449,0.642448274
69,0.671744386,0.647407293,0.548248453,0.640383184
70,0.717480766,0.636657553,0.55259829,0.599602124
71,0.700684726,0.636086446,0.582043005,0.607966578
72,0.668092692,0.63923175,0.596964849,0.645982736
73,0.686325338,0.660846117,0.599337874,0.611402388
74,0.681522799,0.63603781,0.584931769,0.578757794
75,0.694546121,0.668013482,0.58633745,0.583999801
76,0.688428203,0.670972145,0.618572647,0.58256071
77,0.684514858,0.69222779,0.611596499,0.567633367
78,0.648201548,0.744148077,0.616008699,0.583935421
79,0.635827969,0.721433206,0.64486417,0.552496533
80,0.673456106,0.676189685,0.647788484,0.521841309
81,0.689133456,0.665185929,0.685354512,0.527047195
82,0.706821286,0.698886555,0.729212051,0.536142419
83,0.695989226,0.696312699,0.743470703,0.523815865
84,0.734701173,0.649733708,0.740120038,0.562465929
85,0.685639988,0.614575836,0.747459119,0.560395165
86,0.747269927,0.635889034,0.739747496,0.553950792
87,0.723611405,0.615434995,0.720528232,0.540800492
88,0.733565483,0.617571559,0.720139582,0.552648518
89,0.716799535,0.62032434,0.710865526,0.525233651
90,0.697708351,0.592138281,0.707326247,0.477030298
91,0.656811595,0.578162809,0.693235307,0.485490214
92,0.672837186,0.565150917,0.702752807,0.435668915
93,0.676148976,0.529168175,0.651971234,0.460123955
94,0.635695198,0.550348922,0.666368314,0.462021783
95,0.64731031,0.540740978,0.675864002,0.464566239
96,0.616107931,0.470510182,0.681668623,0.457390436
97,0.649745482,0.470491496,0.680331253,0.515938065
98,0.66691481,0.458699425,0.673122691,0.481141694
99,0.670163,0.440355987,0.670114402,0.452733412
100,0.662758721,0.410336414,0.642860081,0.461700993
101,0.643313989,0.424058962,0.646010365,0.454211483
102,0.631476746,0.389917938,0.686955458,0.403618261
103,0.607448023,0.403863017,0.689619337,0.408997292
104,0.619684973,0.32950117,0.705183971,0.360989718
105,0.626375391,0.324837411,0.681410354,0.380752686
106,0.615880608,0.30981068,0.698260812,0.408132147
107,0.62523509,0.292426972,0.676320094,0.382292006
108,0.598569321,0.344907943,0.660357999,0.37300537
109,0.570361358,0.331154462,0.613979315,0.37993784
110,0.58740035,0.337657948,0.619699199,0.393058165
111,0.559911302,0.359047055,0.619510259,0.416497809
112,0.545494272,0.411191307,0.613611162,0.435958342
113,0.579246776,0.440247332,0.637218142,0.452738616
114,0.583340322,0.425079018,0.596355675,0.468325959
115,0.604945689,0.434492892,0.576655415,0.460870818
116,0.586469122,0.411991774,0.614935872,0.448255298
117,0.597680175,0.407781491,0.642948289,0.438237026
118,0.607140369,0.404204885,0.602822322,0.404509124
119,0.645920283,0.380959241,0.580273823,0.401051938
120,0.658547117,0.392859086,0.631562859,0.412259552
121,0.650404676,0.360451327,0.604082121,0.395928975
122,0.673272533,0.355956285,0.628665817,0.386308261
123,0.670632873,0.327747525,0.610103866,0.357718182
124,0.657862677,0.344154365,0.613229285,0.37097985
125,0.621544128,0.309658221,0.610850875,0.381658026
126,0.638765158,0.331079162,0.609641124,0.398279361
127,0.626231969,0.317571318,0.58487235,0.373544908
128,0.678718937,0.327327384,0.568265306,0.391101509
129,0.684288487,0.320525721,0.597478578,0.421707366
130,0.708061265,0.343294024,0.601527307,0.43392991
131,0.686290312,0.382507356,0.64763363,0.426719665
132,0.699484736,0.351467325,0.651574397,0.46105971
133,0.641468852,0.341104878,0.646278608,0.445730538
134,0.644630983,0.334501306,0.567315406,0.415065107
135,0.62177449,0.306808941,0.546803619,0.435505403
136,0.583999286,0.335239917,0.530728159,0.435824404
137,0.622896698,0.307734706,0.526351702,0.410734121
138,0.652449873,0.293138513,0.540851944,0.424768301
139,0.641621388,0.272932121,0.526378494,0.405697073
140,0.62488726,0.255851205,0.5484319,0.443309791
141,0.662793601,0.257559917,0.528872078,0.47882794
142,0.673804421,0.263651818,0.534881349,0.463754704
143,0.698580012,0.269979962,0.509649718,0.462479402
144,0.736530576,0.296852887,0.586453861,0.449444223
145,0.729630293,0.285357955,0.591891528,0.429541148
146,0.733408604,0.263038351,0.600996283,0.450195866
147,0.711810619,0.298461205,0.595997484,0.445300194
148,0.687823782,0.306984466,0.600330442,0.429892682
149,0.68869481,0.319584149,0.630930916,0.426929955
150,0.7,0.3,0.6,0.4
151,0.7,0.3,0.6,0.4
152,0.7,0.3,0.6,0.4
153,0.7,0.3,0.6,0.4
