,p1,p2,p3,p4
0,0.308256968,0.40239633,0.576765095,0.405114184
1,0.303750526,0.388624967,0.559690988,0.375848967
2,0.282146791,0.385789481,0.549731917,0.35374972
3,0.311035025,0.386027604,0.56697718,0.370417199
4,0.330037275,0.406497431,0.553983958,0.3707712
5,0.319697015,0.420924571,0.550383913,0.411737843
6,0.374534372,0.429259747,0.532545331,0.40380265
7,0.373347589,0.385603329,0.528660643,0.434730642
8,0.337951362,0.425716221,0.502939316,0.398281448
9,0.348751458,0.409492703,0.511941223,0.380634322
10,0.359100765,0.420449466,0.461856458,0.356859485
11,0.334786622,0.433505728,0.457442013,0.332591039
12,0.310197991,0.440948156,0.428850041,0.345881542
13,0.336275699,0.447699877,0.439803574,0.3560984
14,0.310955652,0.431966512,0.445128952,0.377740833
15,0.288460094,0.439469287,0.419394809,0.386367482
16,0.314264702,0.40618889,0.429867389,0.389875525
17,0.329479215,0.436753725,0.42195488,0.423447256
18,0.342162292,0.430858483,0.415809758,0.421696126
19,0.340493369,0.429971496,0.360130556,0.423426482
20,0.372574772,0.488195359,0.33758227,0.469317449
21,0.362843116,0.469414634,0.293125872,0.438740885
22,0.373683349,0.473626381,0.298589211,0.425207524
23,0.402849975,0.519983858,0.32710624,0.452541111
24,0.400026357,0.508985053,0.324564679,0.38285773
25,0.402023678,0.486523154,0.319972093,0.375587977
26,0.420450172,0.530270136,0.297210029,0.353910913
27,0.405422621,0.527962437,0.253963994,0.369124849
28,0.399682699,0.51696249,0.269385642,0.362253929
29,0.373511879,0.521911456,0.261193688,0.368211467
30,0.369088209,0.529599042,0.264489197,0.353327525
31,0.393762256,0.510609834,0.280919229,0.368425487
32,0.373790081,0.507604702,0.266638039,0.358105587
33,0.350236748,0.500092553,0.275964805,0.337718374
34,0.388262412,0.518183331,0.290796063,0.327684966
35,0.40428015,0.472961766,0.317792719,0.32270523
36,0.419939613,0.466723822,0.342618194,0.298331474
37,0.444492901,0.45141104,0.343990348,0.326299774
38,0.455119364,0.436675205,0.345560128,0.376848747
39,0.473916732,0.398768533,0.346374291,0.335948756
40,0.453608657,0.38513003,0.372665099,0.326012081
41,0.489633997,0.375083918,0.335910067,0.334182437
42,0.474630434,0.360235648,0.390560607,0.367358515
43,0.42951809,0.378313685,0.377396931,0.373864787
44,0.41423471,0.375580743,0.332046545,0.366064191
45,0.426559955,0.380099227,0.330900517,0.367658769
46,0.433874659,0.393618887,0.338616562,0.395073602
47,0.450295057,0.430653864,0.334729338,0.374609818
48,0.418756289,0.418768244,0.305376419,0.371436141
49,0.429931164,0.416026779,0.277158008,0.378685217
50,0.423189948,0.403669602,0.259920018,0.404191826
51,0.46566155,0.388479588,0.262864975,0.386712818
